5.2 Cataracts      Use of corticosteroids may result in posterior subcapsular cataract formation.,result in is not a named entity
5.2 Cataracts      Use of corticosteroids may result in posterior subcapsular cataract formation.,posterior subcapsular cataract is an adverse reaction entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",visual acuity is not a named entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",glaucoma with damage is not a named entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",damage to the optic nerve is an adverse reaction entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",Intraocular pressure increase is an adverse reaction entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",defects in visual acuity is an adverse reaction entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",defects fields of vision is an adverse reaction entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",corticosteroids may is not a named entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",) increase- Prolonged is not a named entity
"5 WARNINGS AND PRECAUTIONS       EXCERPT:    *   Intraocular pressure (IOP) increase- Prolonged use of corticosteroids may result in glaucoma with damage to the optic nerve, defects in visual acuity and fields of vision.",glaucoma is an adverse reaction entity
